Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
              STATE:District of Columbia,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,28.6,28.6,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,41.1,41.1,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,32.0,32.0,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,44.1,44.1,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,56.6,56.6,---,.,.,---,.,.
              STATE:Florida,---,.,.,DSU,3.2,1.8,DSU,4.2,2.1,DSU,3.0,1.7,DSU,4.8,2.2,DSU,5.7,2.3,DSU,1.8,1.3,DSU,1.8,1.3,DSU,2.7,1.5,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,40.5,40.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
